City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Lima,PE,2021-01-12 22:22:34,-12.0432,-77.0282,71.6,78,75,9.22
221,Hofn,IS,2021-01-12 22:27:28,64.2539,-15.2082,33.12,90,100,10.18
222,Harper,LR,2021-01-12 22:27:29,4.375,-7.7169,79.03,84,64,8.99
223,Severo-Kurilsk,RU,2021-01-12 22:27:29,50.6789,156.125,18.12,88,91,8.84
224,Hadejia,NG,2021-01-12 22:27:29,12.4498,10.0444,68.97,21,0,9.04
225,Tura,IN,2021-01-12 22:27:29,25.5198,90.2201,55.76,51,0,2.59
226,Workington,GB,2021-01-12 22:27:29,54.6425,-3.5441,33.01,82,100,3.27
227,Bac Lieu,VN,2021-01-12 22:23:09,9.285,105.7244,71.82,80,19,9.37
228,Vila Velha,BR,2021-01-12 22:25:28,-20.3297,-40.2925,79.0,73,20,11.5
229,Mumford,GH,2021-01-12 22:27:30,5.2618,-0.759,79.79,85,27,12.41
230,Frontera,MX,2021-01-12 22:27:30,26.9333,-101.45,54.0,81,20,4.61
231,Leopold,AU,2021-01-12 22:27:30,-38.1833,144.4667,64.99,77,17,8.05
232,Henties Bay,NA,2021-01-12 22:27:31,-22.116,14.2845,70.0,86,100,3.33
233,Novyy Buh,UA,2021-01-12 22:27:31,47.6931,32.5216,28.4,74,90,13.42
234,Trairi,BR,2021-01-12 22:24:33,-3.2778,-39.2689,79.05,79,88,10.16
235,Araguaina,BR,2021-01-12 22:27:32,-7.1911,-48.2072,77.76,83,37,3.76
236,Mar Del Plata,AR,2021-01-12 22:23:04,-38.0023,-57.5575,69.8,37,0,11.5
237,Kenai,US,2021-01-12 22:24:39,60.5544,-151.2583,30.2,69,75,9.22
238,Buritizeiro,BR,2021-01-12 22:27:33,-17.3511,-44.9622,75.52,84,85,1.72
239,Sibolga,ID,2021-01-12 22:27:33,1.7427,98.7792,75.85,82,100,3.69
240,Tsotilion,GR,2021-01-12 22:27:33,40.2667,21.3167,44.01,87,0,5.75
241,Kondagaon,IN,2021-01-12 22:27:33,19.6,81.6667,60.46,64,19,1.32
242,San Patricio,US,2021-01-12 22:27:33,28.017,-97.5169,45.0,70,90,9.22
243,Iwaki,JP,2021-01-12 22:27:33,37.05,140.8833,39.99,100,40,1.14
244,Akyab,MM,2021-01-12 22:27:34,20.15,92.9,66.88,69,100,9.66
245,Saint-Pierre,RE,2021-01-12 22:27:34,-21.3393,55.4781,77.0,94,75,4.61
246,Paragould,US,2021-01-12 22:27:34,36.0584,-90.4973,44.6,57,1,11.5
247,Lagoa Santa,BR,2021-01-12 22:27:34,-19.6272,-43.8897,78.8,78,20,9.22
248,Camacha,PT,2021-01-12 22:27:34,33.0833,-16.3333,57.2,58,75,5.75
249,Norman Wells,CA,2021-01-12 22:27:34,65.282,-126.8329,-11.2,77,40,5.75
250,Baherden,TM,2021-01-12 22:27:35,38.4362,57.4316,37.85,71,0,6.2
251,Andenes,NO,2021-01-12 22:27:35,69.3143,16.1194,28.0,63,73,10.36
252,Lethem,GY,2021-01-12 22:24:19,3.3803,-59.7968,86.0,66,40,13.8
253,Bethel,US,2021-01-12 22:25:55,41.3712,-73.414,35.6,55,75,5.75
254,Vostok,RU,2021-01-12 22:27:35,46.4856,135.8833,5.27,94,100,2.73
255,Alibag,IN,2021-01-12 22:27:35,18.6411,72.8792,78.8,78,53,5.73
256,Aswan,EG,2021-01-12 22:24:17,24.0934,32.907,64.99,42,0,9.66
257,Lorengau,PG,2021-01-12 22:27:35,-2.0226,147.2712,84.13,76,60,13.78
258,Neiafu,TO,2021-01-12 22:27:36,-18.65,-173.9833,82.4,83,40,6.91
259,Antofagasta,CL,2021-01-12 22:27:36,-23.65,-70.4,68.0,64,20,13.8
260,Fortuna,US,2021-01-12 22:27:36,40.5982,-124.1573,57.99,100,90,17.27
261,Faya,SA,2021-01-12 22:27:36,18.3851,42.4509,46.4,71,0,4.54
262,Samarai,PG,2021-01-12 22:27:36,-10.6167,150.6667,83.98,79,76,11.01
263,Esna,EG,2021-01-12 22:27:36,25.2934,32.554,66.2,52,0,3.44
264,Christchurch,NZ,2021-01-12 22:23:48,-43.5333,172.6333,73.0,68,20,2.3
265,Zhigansk,RU,2021-01-12 22:27:37,66.7697,123.3711,-40.83,79,100,11.95
266,Mosquera,CO,2021-01-12 22:24:09,4.7059,-74.2302,62.6,72,40,8.05
267,Koutiala,ML,2021-01-12 22:27:37,12.3917,-5.4642,76.57,17,3,8.59
268,Port Hedland,AU,2021-01-12 22:27:37,-20.3167,118.5667,82.4,89,0,3.44
269,Carahue,CL,2021-01-12 22:27:37,-38.7,-73.1667,66.2,48,0,13.8
270,Iqaluit,CA,2021-01-12 22:27:37,63.7506,-68.5145,5.0,72,75,5.86
271,Jeremie,HT,2021-01-12 22:27:37,18.65,-74.1167,78.66,71,88,1.7
272,Killybegs,IE,2021-01-12 22:27:37,54.6333,-8.45,44.01,96,100,3.0
273,Cidreira,BR,2021-01-12 22:27:37,-30.1811,-50.2056,74.44,83,97,13.98
274,Nikolskoye,RU,2021-01-12 22:27:38,59.7035,30.7861,8.6,85,75,20.13
275,Pahrump,US,2021-01-12 22:27:38,36.2083,-115.9839,62.01,18,82,3.22
276,Klaksvik,FO,2021-01-12 22:27:38,62.2266,-6.589,26.6,86,20,1.14
277,Chicama,PE,2021-01-12 22:27:38,-7.8447,-79.1469,76.78,63,22,11.14
278,Westport,US,2021-01-12 22:27:38,41.1415,-73.3579,39.2,65,75,2.71
